title,url,pub_time,source,category,summary
“推广数字人民币返利”？中国人民银行重庆市分行发布防范诈骗风险提示 _,https://finance.eastmoney.com/a/202509033503470643.html,2025-09-03T14:43:00+08:00,eastmoney,要闻,“重庆辟谣”微信公众号9月2日发文称，近期，接到群众反映，有不法分子冒用中国人民银行重庆市分行名义，假借推广数字人民币开展虚假宣传，声称“有偿推广”“高额回报”“分享商家利润”等，欺骗公众，造成不良社会影响。对此，人民银行重庆市分行向社会公众作出如下风险提示：数字人民币是中国人民银行发行的数字形式的法定货币，与实物货币1:1兑换，不具有炒作空间，无任何推广返利活动。中国人民银行重庆市分行从未发布任
【上海一周】何以识“变” _,https://finance.eastmoney.com/a/202509033503460056.html,2025-09-03T14:40:00+08:00,eastmoney,要闻,上周，上海市委书记陈吉宁主持召开上海哲学社会科学专家座谈会，听取专家学者对上海未来经济社会发展的意见建议。 “加快建成具有世界影响力的社会主义现代化国际大都市，未来五年是承前启后、攻坚突破的关键时期。”陈吉宁谈到，谋划上海“十五五”发展，要系统学习贯彻习近平总书记对上海工作的重要讲话和重要指示精神，掌握其中既一以贯之、一脉相承又发展变化、与时俱进的战略部署和战略意图，学深悟透、融会贯通，主动作为、
上海市国资委调研申迪集团改革发展工作 _,https://finance.eastmoney.com/a/202509033503445860.html,2025-09-03T14:32:00+08:00,eastmoney,要闻,9月2日上午，上海市国资委党委书记、主任贺青带队调研申迪集团并主持召开座谈会，听取企业今年以来改革发展情况，了解企业诉求建议。贺青表示，申迪集团认真落实市委市政府部署要求，把准改革方向、直面深层问题、注重真抓实干，各项工作取得积极成效。下一步，要为全市经济稳增长多做贡献。要更加积极融入全市文旅商体展协同发展大局，主动对接各类政策资源，实现经营收入企稳回升。要切实增强专业化运营能力，进一步提升客户体
中铁资本等在温州成立股权投资中心 _,https://finance.eastmoney.com/a/202509033503434772.html,2025-09-03T14:15:00+08:00,eastmoney,要闻,南方财经9月3日电，天眼查工商信息显示，近日，豫诚壹号（温州）股权投资中心（有限合伙）成立，执行事务合伙人为中铁资本有限公司，出资额约12.4亿人民币，经营范围包括创业投资，以私募基金从事股权投资、投资管理、资产管理等活动。合伙人信息显示，该企业由北京资信通机械租赁有限责任公司、中铁资本有限公司共同出资。 （文章来源：南方财经网）
国企混改基金等在北京成立股权投资基金 出资额14.9亿 _,https://finance.eastmoney.com/a/202509033503430343.html,2025-09-03T14:08:00+08:00,eastmoney,要闻,天眼查工商信息显示，璟泉善瑞（北京）股权投资基金合伙企业（有限合伙）近日成立，执行事务合伙人为璟泉善诚管理咨询（北京）有限公司，出资额14.9亿人民币，经营范围为以私募基金从事股权投资、投资管理、资产管理等活动。合伙人信息显示，该基金由中国国有企业混合所有制改革基金有限公司、璟泉善诚管理咨询（北京）有限公司共同出资。 （文章来源：财联社）
中国中煤、国家电投成立两家新能源公司 _,https://finance.eastmoney.com/a/202509033503426593.html,2025-09-03T14:00:00+08:00,eastmoney,要闻,企查查APP显示，近日，中煤（灵川）新能源有限公司、中煤（资源）新能源有限公司成立，注册资本分别为1.4亿元、1.1亿元，经营范围均包含：生物质能技术服务；储能技术服务；新兴能源技术研发；节能管理服务等。企查查股权穿透显示，二者皆由中国中煤能源集团有限公司、国家电力投资集团有限公司间接共同持股。 （文章来源：人民财讯）
“这有点疯狂”！特朗普回应健康状况传闻 _,https://finance.eastmoney.com/a/202509033503431595.html,2025-09-03T13:52:00+08:00,eastmoney,要闻,美国总统特朗普在长达一周没有露面后，于当地时间周二（2日）重返公众视野。当天，特朗普在白宫椭圆形办公室讨论将太空司令部迁至亚拉巴马州的决定时，被问及社交媒体上关于他“去世”的相关消息。 79岁的特朗普当天表示，他听说过关于他生病的猜测，但没有看到“去世”的报道。他随后称这些消息是“假新闻”。“我听说过，这有点疯狂。但上周我举行了好几次新闻发布会。都很成功，进展非常顺利，就像这次一样，但后来我两天没
8月京广深二手房成交数据出炉 _,https://finance.eastmoney.com/a/202509033503420582.html,2025-09-03T13:39:00+08:00,eastmoney,要闻,南方财经9月3日电，据券商中国，最新数据显示，8月，北京在新政刺激下，二手房住宅网签较7月有所增加；深圳二手房单月录得量仍超5000套，已连续6个月超行业“荣枯线”；广州受天气等多方面原因影响，市场交易节奏放缓，二手住宅网签量环比下降。 业内人士认为，未来北京政策仍有进一步优化空间，随着需求逐步释放，二手房市场的房源流通速度也将加快。预计9月深圳或松绑外围限购政策，“金九银十”大概率会实现；广州9
8月京广深二手房成交数据出炉 _,https://finance.eastmoney.com/a/202509033503394438.html,2025-09-03T13:29:00+08:00,eastmoney,要闻,最新数据显示，8月，北京在新政刺激下，二手房住宅网签较7月有所增加；深圳二手房单月录得量仍超5000套，已连续6个月超行业“荣枯线”；广州受天气等多方面原因影响，市场交易节奏放缓，二手住宅网签量环比下降。 业内人士认为，未来北京政策仍有进一步优化空间，随着需求逐步释放，二手房市场的房源流通速度也将加快。预计9月深圳或松绑外围限购政策，“金九银十”大概率会实现；广州9月二手住宅成交量回升的可能性不大
上海有产妇称收到近18万元生育补贴？医保热线回应 _,https://finance.eastmoney.com/a/202509033503395562.html,2025-09-03T13:28:00+08:00,eastmoney,要闻,昨天（9月2日） 一条关于生育补贴的帖子 登上了微博热搜榜高位 发帖网友表示 自己8月10日提交了 上海市生育补贴的申请 8月22日就到账了 金额多达17.8888万元 她感慨“上海这个行政速度是真快啊！” 生孩子政府真的发钱， 早上买纸尿裤的心疼现在荡然无存 图片来源：社交媒体 该话题冲上微博热搜后 网友们纷纷表示羡慕 有网友根据上海生育津贴的计算公式 （上年度单位月平均工资 / 30天 × 产
