title,url,pub_time,summary,category,source
直击深圳楼市新政首日：房企酝酿收回折扣，楼盘来访量有所提升 _,https://finance.eastmoney.com/a/202509063506761428.html,2025-09-06 18:36:00,继北京、上海之后，深圳房地产政策也迎来了调整。 9月5日深夜，深圳市住房和建设局、中国人民银行深圳市分行联合印发《关于进一步优化调整本市房地产政策措施的通知》（下称“《通知》”），自9月6日起，深圳分区优化调整居民购买商品住房政策、分区优化调整企事业单位购买商品住房政策、优化调整个人住房信贷政策。 这次核心的调整集中在，罗湖、宝安西乡街道被移出核心限购区，深户、或者在深圳有1年连续社保、个税缴纳证,要闻,eastmoney
重大突破 新型超导材料问世！机构盯上5只高增长潜力股 _,https://finance.eastmoney.com/a/202509063506760138.html,2025-09-06 18:09:00,超导技术凭借其独特的物理特性，在多个领域展现出了巨大的应用潜力。 新型高载流铁基超导线材问世 作为面向未来的一项前沿技术，超导是当今世界科研最前沿、应用潜力最大的领域之一。中国科学家历经多年攻关研究，在超导领域持续实现从理论到应用的引领性突破。 据科技日报，近日从中国科学院电工研究所获悉，该所科研人员开发出一种铁基超导线材制备新技术，成功制备出新型高载流铁基超导线材，其载流性能指标创下新纪录。相关,要闻,eastmoney
600363 布局电磁弹射火箭技术！记者实探 _,https://finance.eastmoney.com/a/202509063506759480.html,2025-09-06 17:46:00,A股上市公司联创光电（600363）携手四川省资阳市在商业航天领域搞了个大动作。 公司9月5日晚间披露，拟与多方共同投资设立资阳商业航天产业运营公司（下称“资阳商业航天”）。资阳商业航天将推动电磁弹射这一颠覆传统发射模式“新技术”的商业化。 联创光电主营激光系列及传统LED芯片等产品的研发、产销。从定期报告来看，公司将“商业航天电磁弹射”作为了其高温超导业务的重要突破方向。 联创光电此次投资的合作,要闻,eastmoney
中国婴配粉，老大换了？丨消费参考+ _,https://finance.eastmoney.com/a/202509063506758629.html,2025-09-06 17:30:00,中国婴配粉江湖似乎要重新排位了。 伊利提到，在上半年，这家公司整体婴幼儿奶粉（含牛奶粉和羊奶粉）零售额市场份额跃居全国第一。 飞鹤呢，也再次强调，飞鹤婴配粉全渠道市场份额及销量继续稳居市场第一。飞鹤还特别提到，其在全国第一的位置已经持续了六年。 今天，我们就来聊下，谁才是中国市场的婴配粉老大？ 大家好，我是小贺，欢迎收看本期消费参考。 其实，伊利和飞鹤的第一，都是客观存在的。只是口径不同。 伊利排,要闻,eastmoney
新华财经晚报：下周A股解禁市值逾960亿元 _,https://finance.eastmoney.com/a/202509063506758144.html,2025-09-06 17:22:00,【重点关注】 ·下周A股解禁市值逾960亿元 ·上海合作组织成员国第二十四次经贸部长会议取得积极成果 ·计价规则优化后的学生优惠票6日开始发售 【国内要闻】 ·十四届全国政协经济委员会副主任易会满涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。 ·下周（9月8日至12日），A股市场将有40家上市公司迎来限售股解禁。以个股最新价计算，40家上市公司解禁股对应市值合计高达966.01亿,要闻,eastmoney
外企看好中国智能产业 冀共享机遇 _,https://finance.eastmoney.com/a/202509063506757744.html,2025-09-06 17:10:00,中新社重庆9月6日电 (张旭)“许多中国智能制造企业已经或正在出海，中国企业在全球智能制造中的声量也越来越大，这是我们所期望见到的。”德国企业SupplyOn亚太区CEO郑梓熙6日在重庆向中新社表示，他们从中获得发展机会。 9月5日至8日，2025世界智能产业博览会(以下简称“智博会”)在重庆举行，吸引600余家国内外企业集中展示3000余项创新产品。 9月6日，2025世界智能产业博览会新加坡馆,要闻,eastmoney
2025年中国农民丰收节金秋消费季启动 _,https://finance.eastmoney.com/a/202509063506753556.html,2025-09-06 15:20:00,新华财经北京9月6日电（记者古一平）2025年中国农民丰收节金秋消费季活动9月5日在浙江省杭州市启动。 今年金秋消费季以“庆农业丰收享美好生活”为主题，由农业农村部、商务部、文化和旅游部、中央广播电视总台、国家林业和草原局、中华全国供销合作总社联合发起。 今年金秋消费季从9月初持续到11月底，其间各地各部门将组织开展多领域、多层次、多元化的庆丰收促消费活动。 启动活动上，中国优质农产品开发服务协会,要闻,eastmoney
话费充值最低50元起？网友质疑：不合理，强制交易 _,https://finance.eastmoney.com/a/202509063506753445.html,2025-09-06 15:17:00,9月5日，话题“话费最低50元起充被质疑不合理”登上热搜，引发热议。 近日，有网友反映，近期通过微信充值话费，“以前的10元和30元充值消失，取代为最低50元到500元不等”，他认为运营商涉嫌滥用垄断地位侵犯消费者权益。 记者发现，很多用户都有类似烦恼。不少消费者表示，话费自由应是按需充值，而不是在一堆大额里挑充多少。 记者根据反映，调查了十余个平台后发现，大多第三方平台不能充小额或自定义话费，基,要闻,eastmoney
热搜！我国规划撞击一颗小行星 2022年美国曾实施小行星撞击试验 _,https://finance.eastmoney.com/a/202509063506752265.html,2025-09-06 15:13:00,6日，#我国规划撞击一颗小行星#话题冲上微博热搜。 据央视新闻，近日召开的第三届深空探测天都国际会议上，中国探月工程总设计师吴伟仁介绍，我国正在规划对一颗小行星实施动能撞击演示验证任务，验证小行星防御方案可行性。 图片来源：视频截图 吴伟仁院士介绍，这项任务拟采用“伴飞+撞击+伴飞”的任务模式，发射观测器和撞击器。观测器先期抵达对目标小行星进行抵近观测，获取其详细特性参数，然后撞击器对小行星实施高,要闻,eastmoney
百度前高级副总裁王劲创业失败 自动驾驶公司进入破产程序 已失联 _,https://finance.eastmoney.com/a/202509063506751978.html,2025-09-06 15:06:00,日前，中智行科技有限公司（以下简称“中智行”）破产清算被法院受理。据红星资本局消息，该公司由前百度高级副总裁、百度自动驾驶事业部首任总经理、文远知行创始人王劲创办，主攻L4级自动驾驶领域。 裁定书显示，中智行无力支付1.5万元的劳动仲裁款，被申请破产清算还债，进入“执转破”程序。 业内人士指出，中智行的困境与其选择的技术路线，以及当前自动驾驶投资退潮的大环境有关。车路协同短期内难以跑通，商业化落地,要闻,eastmoney
疯狂囤黄金！全球央行黄金储备反超美债 系29年来首次！美元“霸权”落幕？ _,https://finance.eastmoney.com/a/202509063506751517.html,2025-09-06 15:01:00,黄金，这一古老资产，正在挑战现代金融体系的基石——美国国债。 近日，一组数据在华尔街“刷屏”。9月3日，资管机构Crescat Capital合伙人兼宏观策略师塔维科斯塔（Tavi Costa）汇编并发布数据显示：在金价创下新纪录之际，黄金在除美联储外央行的储备占比，自1996年以来首次超过美国国债。 科斯塔认为，这一转折点可能是“近代史上最重大的全球再平衡的开始”。这反映了各国央行在战略性调整储,要闻,eastmoney
中星9C卫星正式投用 中国广播电视专用卫星实现全面国产化 _,https://finance.eastmoney.com/a/202509063506750745.html,2025-09-06 14:54:00,9月4日晚至5日凌晨，中星9C完成接替中星9号直播卫星广播电视业务工作。中星9C卫星是广播电视专用直播卫星，采用国内自主研发的东方红四号增强型卫星平台，配置有全国波束、海域波束、西部波束及可移动波束，整体性能全面优化，载荷容量和功率大幅增加，业务承载能力、国土边缘及领海覆盖能力有效提升。中星9C卫星的波束和频段设计灵活多样，可满足未来直播卫星和广播电视协同发展的需求。该星将为直播卫星高清、超高清业,要闻,eastmoney
西工大实现航天器柔性传感系统首次在轨验证 _,https://finance.eastmoney.com/a/202509063506749861.html,2025-09-06 14:48:00,据西安发布，北京时间2025年9月5日19时39分，我国在酒泉卫星发射中心成功发射谷神星一号运载火箭，将“基于柔性传感的卫星关键折展部件状态实时监测系统”送入预定轨道，发射任务取得圆满成功。该系统由柔性电子全国重点实验室主任、西北工业大学柔性电子研究院首席科学家黄维院士团队杨海涛教授与西北工业大学航天学院岳晓奎教授团队孙冲副研究员联合研发。这是我国首次实现柔性电子传感技术在航天器关键部件状态监测中,要闻,eastmoney
中俄旅游搜索量暴增！双向免签将启，航司网络布局迎收获期 _,https://finance.eastmoney.com/a/202509063506751165.html,2025-09-06 14:41:00,随着中国宣布俄罗斯即将成为第76个实施免签政策的国家，以及俄罗斯方面承诺很快将予以中国对等待遇，中俄两个有着漫长陆地边界的邻国终于开始进入更深层次的开放阶段。在“互免”政策刺激下，两国的航空公司一个阶段以来庞大的航空网络布局也将真正迎来收获期。 全面开放 据央视新闻报道，俄罗斯总统普京9月5日在东方经济论坛全会上表示，俄罗斯相应也将对等实施对华免签政策，作为对中方这一友好措施的回应。 在相关消息发,要闻,eastmoney
受集团场出栏缩量等因素影响 本周猪价出现反弹 _,https://finance.eastmoney.com/a/202509063506749753.html,2025-09-06 14:37:00,据农业农村部监测，9月5日，全国农产品批发市场猪肉平均价格为19.84元/公斤，与上周五（8月29日）的19.94元/公斤相比，下降0.5%。本周的平均价格为19.91元/公斤，与上周19.96元/公斤的均价相比，下降0.3%。 本周国内生猪价格呈先涨后降走势，周均价环比上涨。据中国养猪网的数据，9月5日，生猪（外三元）价格为13.89元/公斤，与上周五（8月29日）的13.69元/公斤相比，上涨,要闻,eastmoney
罕见！办公室门口听到内幕 买入股票大赚 罚单来了！ _,https://finance.eastmoney.com/a/202509063506749654.html,2025-09-06 14:32:00,近日，宁波证监局公布了一则有关内幕交易的罚单。罚单内容显示，李某在办公室门口听到了内幕消息，后面便操作其亲属账户买入“旗天科技”股票，成交金额约30万元，盈利26万元。 李某辩称其并非故意刺探获取内幕信息，只是偶然听到了相关谈话。至于使用亲属账户买股票，李某表示，是为了通过炒股获益补贴亲属。 在办公室门口听到内幕消息 依据证券法的有关规定，宁波证监局对李某内幕交易行为进行了立案调查，并依法向当事人,要闻,eastmoney
上海召开民营经济圆桌会 打造高质量民营孵化器 _,https://finance.eastmoney.com/a/202509063506749532.html,2025-09-06 14:26:00,中新网上海9月6日电(范宇斌)“打造高质量民营孵化器，培育壮大科技服务业”——专题民营经济圆桌会5日在上海市工商联召开，旨在加快提升科技创新策源功能和高端产业引领功能，更好支持民营孵化器企业高质量发展，营造良好的创新创业生态。上海市副市长刘多，上海市政协副主席、上海市工商联主席寿子琪出席会议并讲话，上海市委统战部副部长、上海市工商联党组书记王霄汉参加会议。 会议指出，民营经济是推进中国式现代化的生,要闻,eastmoney
兔子嗨跑营称与“最快女护士”张水华无任何商业签约或经济利益往来 _,https://finance.eastmoney.com/a/202509063506749327.html,2025-09-06 14:26:00,9月6日，兔子嗨跑营发布声明称，机构与所有精英跑者（包括张水华）均无任何商业签约或经济利益往来，坚决反对任何形式的网络暴力、人身攻击和恶意造谣。 （文章来源：界面新闻）,要闻,eastmoney
权威数读｜一周“靓”数 _,https://finance.eastmoney.com/a/202509063506749294.html,2025-09-06 14:20:00,9月3日上午，纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会在北京天安门广场隆重举行；上合组织天津峰会取得八大成果；7月1日至8月31日，全国铁路累计发送旅客9.43亿人次……本周，这些大事和数据，最值得关注！ （文章来源：新华社）,要闻,eastmoney
*ST紫天财务造假退市！下周解禁股名单出炉 _,https://finance.eastmoney.com/a/202509063506747573.html,2025-09-06 14:02:00,下周A股解禁市值逾960亿元。 9月5日晚间，*ST紫天（300280）发布公告，公司于9月5日收到深交所下发的《关于福建紫天传媒科技股份有限公司股票终止上市的决定》，深交所决定终止公司股票上市交易。 公司股票于9月15日复牌并进入退市整理期，退市整理期为十五个交易日，预计最后交易日期为2025年10月13日。公司股票于退市整理期届满的次一交易日摘牌并终止上市。 根据深交所下发决定：2025年5月,要闻,eastmoney
深圳楼市限购调整 今日起施行！ _,https://finance.eastmoney.com/a/202509063506748022.html,2025-09-06 14:02:00,继北京和上海之后，深圳楼市的新政策成为市场关注的焦点。 9月5日，记者从深圳市住建局网站获悉，《深圳市住房和建设局中国人民银行深圳市分行关于进一步优化调整深圳市房地产政策措施的通知》正式发布，《通知》自2025年9月6日（周六）起施行。 具体来看，分区优化调整居民购买商品住房政策。 《通知》提出，符合深圳市商品住房购买条件的居民家庭（包括深圳市户籍居民家庭、自购房之日前在深圳市连续缴纳社会保险或个,要闻,eastmoney
一些地方违规发福利、突击花钱 过紧日子需强化监督 _,https://finance.eastmoney.com/a/202509063506747375.html,2025-09-06 13:57:00,在地方财政收支矛盾加大背景之下，地方政府纷纷过紧日子，降低行政运行成本，不过仍有一些地方落实不到位。 近期，20多个省份审计部门公布的当地2024年度省级（市级）预算执行和其他财政收支的审计工作报告（下称“审计报告”），其中部分省份均发现一些地方存在过紧日子要求执行不严的问题。 过紧日子问题的重灾区 比如，河北审计报告指出，7个部门的13家所属单位违规发放实物福利、超标准支付专家费等164.16万,要闻,eastmoney
辛巴被相关部门带走调查？辛选集团相关人士回应来了 _,https://finance.eastmoney.com/a/202509063506746670.html,2025-09-06 13:51:00,9月6日，有报道称，辛选集团创始人辛巴（辛有志）被相关部门带走调查，之后辛巴意外前往香港。针对上述消息，辛选集团相关人士回应称：不属实。 此前，辛巴在直播中表示，将正式离开直播行业，不再参与各项工作。当时，辛选集团相关负责人向《每日经济新闻》记者确认，辛巴目前身体不能承受任何压力，肺功能已达极限。其1亿粉丝的账号作为公司资产已移交，并正式任命联合创始人初瑞雪（辛巴妻子）全面接管辛选集团。 8月29,要闻,eastmoney
威马新股东发声：9月复产 并承诺清偿债务 _,https://finance.eastmoney.com/a/202509063506745732.html,2025-09-06 13:36:00,威马汽车重整投资人深圳翔飞汽车销售有限公司（简称“翔飞”）通过威马汽车官微发布《致供应商白皮书》，称计划于2025年9月在温州基地恢复EX5和E5车型的量产，同时宣布对供应商欠款的清偿计划。 翔飞称，将对威马汽车科技集团有限公司等四家公司债务进行清偿，债权金额15万元（含）以下的普通债权人将在法院批准重整计划后6个月内获得全额现金清偿；债权金额超过15万元的，除15万元现金清偿外，超出部分通过信托,要闻,eastmoney
